"artifact_id","caption_path","has_expected_figure_label","scope_keyword_hits","problematic_claim_hits","status"
"Figure S1","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/153_FigureS1_discovery_QC/text/153_FigureS1_legend_EN.txt",TRUE,"","","READY"
"Figure S2","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/154_FigureS2_DE_enrichment_sensitivity/text/154_FigureS2_legend_EN.txt",TRUE,"","","READY"
"Figure S3","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/146_SRS_CTS_robustness_figure/text/146_Supplementary_Figure_Sx_caption_EN.txt",FALSE,"","","WARNING"
"Figure S4","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/158_FigureS4_panel_development_internal_validation/text/158_FigureS4_legend_EN.txt",TRUE,"","","READY"
"Figure S5","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/160_FigureS5_complete_clinical_landscape/text/160_FigureS5_legend_EN.txt",TRUE,"","","READY"
"Figure S6","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/162_FigureS6_signature_convergence/text/162_FigureS6_legend_EN.txt",TRUE,"","","READY"
"Figure S7","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/164_FigureS7_GSE154918_sensitivity_details/text/164_FigureS7_legend_EN.txt",TRUE,"","","READY"
"Figure S8","SEPSIS_PROJECT_DIR/results/blood_endotypes_biomarkers/166_FigureS8_GSE185263_external_sensitivity/text/166_FigureS8_caption_EN.txt",TRUE,"","","READY"
